<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKM,D,20160607,000000,97.0900000
RTKM,D,20160608,000000,97.3000000
RTKM,D,20160609,000000,96.1500000
RTKM,D,20160610,000000,95.0100000
RTKM,D,20160614,000000,95.0900000
RTKM,D,20160615,000000,95.6000000
RTKM,D,20160616,000000,94.2000000
RTKM,D,20160617,000000,92.8000000
RTKM,D,20160620,000000,93.0000000
RTKM,D,20160621,000000,93.5500000
RTKM,D,20160622,000000,93.8700000
RTKM,D,20160623,000000,93.8000000
RTKM,D,20160624,000000,93.1000000
RTKM,D,20160627,000000,92.6400000
RTKM,D,20160628,000000,91.8300000
RTKM,D,20160629,000000,91.8800000
RTKM,D,20160630,000000,92.2000000
RTKM,D,20160701,000000,91.5000000
RTKM,D,20160704,000000,91.9500000
RTKM,D,20160705,000000,91.9000000
RTKM,D,20160706,000000,92.0100000
RTKM,D,20160707,000000,88.4900000
RTKM,D,20160708,000000,87.8000000
RTKM,D,20160711,000000,87.3500000
RTKM,D,20160712,000000,87.2300000
RTKM,D,20160713,000000,86.6900000
RTKM,D,20160714,000000,86.0000000
RTKM,D,20160715,000000,86.4000000
RTKM,D,20160718,000000,86.8500000
RTKM,D,20160719,000000,86.1000000
RTKM,D,20160720,000000,87.2000000
RTKM,D,20160721,000000,86.5000000
RTKM,D,20160722,000000,85.8700000
RTKM,D,20160725,000000,86.1000000
RTKM,D,20160726,000000,85.9200000
RTKM,D,20160727,000000,86.2900000
RTKM,D,20160728,000000,86.0300000
RTKM,D,20160729,000000,85.5000000
RTKM,D,20160801,000000,86.0000000
RTKM,D,20160802,000000,85.6000000
RTKM,D,20160803,000000,84.7500000
RTKM,D,20160804,000000,86.2000000
RTKM,D,20160805,000000,86.1000000
RTKM,D,20160808,000000,87.0000000
RTKM,D,20160809,000000,87.5000000
RTKM,D,20160810,000000,86.0000000
RTKM,D,20160811,000000,86.6800000
RTKM,D,20160812,000000,86.2500000
RTKM,D,20160815,000000,85.8500000
RTKM,D,20160816,000000,85.9500000
RTKM,D,20160817,000000,85.2000000
